,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.00020117759704589843,0.00040235519409179685,0.02355480194091797,0.03160828533901059,1,{'n_neighbors': 1},0.9125,0.9625,0.925,0.9493670886075949,0.9240506329113924,0.9346835443037975,0.018375533481568753,20
1,0.0005990505218505859,0.0004891268943654465,0.006776237487792968,0.000397878610921444,2,{'n_neighbors': 2},0.925,0.925,0.9625,0.9620253164556962,0.9367088607594937,0.9422468354430379,0.016893518372047327,19
2,0.0,0.0,0.007393598556518555,0.0004849753420870673,3,{'n_neighbors': 3},0.95,0.95,0.9875,0.9620253164556962,0.9493670886075949,0.9597784810126582,0.014650360801807523,3
3,0.0,0.0,0.007375240325927734,0.0004883246011414231,4,{'n_neighbors': 4},0.95,0.95,0.9875,0.9367088607594937,0.9620253164556962,0.9572468354430381,0.01711683088937793,9
4,0.0,0.0,0.007175302505493164,0.0003990671400728695,5,{'n_neighbors': 5},0.95,0.9625,0.975,0.9493670886075949,0.9367088607594937,0.9547151898734176,0.013016450218314197,18
5,0.0003986835479736328,0.0004882856365096232,0.007175970077514649,0.0007458304087011931,6,{'n_neighbors': 6},0.95,0.9625,0.975,0.9367088607594937,0.9493670886075949,0.9547151898734179,0.013016450218314199,17
6,0.0,0.0,0.007187175750732422,0.00040540282961432805,7,{'n_neighbors': 7},0.95,0.9625,0.975,0.9493670886075949,0.9493670886075949,0.9572468354430379,0.010192821336302494,10
7,0.00019931793212890625,0.0003986358642578125,0.007191801071166992,0.00040675988890714545,8,{'n_neighbors': 8},0.95,0.9625,0.9875,0.9493670886075949,0.9493670886075949,0.959746835443038,0.014753285382537486,4
8,0.0003986835479736328,0.0004882856365096232,0.006799221038818359,0.0004100871917174974,9,{'n_neighbors': 9},0.9625,0.9625,0.975,0.9367088607594937,0.9493670886075949,0.9572151898734177,0.013071037713921688,14
9,0.00019931793212890625,0.0003986358642578125,0.007181024551391602,0.0007446105391208988,10,{'n_neighbors': 10},0.95,0.9375,0.9875,0.9493670886075949,0.9620253164556962,0.9572784810126581,0.016986037698251744,8
10,0.00019941329956054687,0.0003988265991210938,0.00757451057434082,0.0004882856597924778,11,{'n_neighbors': 11},0.9625,0.9625,0.9875,0.9367088607594937,0.9367088607594937,0.9571835443037975,0.019047531182796118,16
11,0.0,0.0,0.007943391799926758,0.0006186131419749896,12,{'n_neighbors': 12},0.9625,0.95,0.9875,0.9367088607594937,0.9493670886075949,0.9572151898734178,0.01720034961617827,13
12,0.00020647048950195312,0.00041294097900390625,0.007603693008422852,0.0004963119973459418,13,{'n_neighbors': 13},0.975,0.9625,0.9875,0.9367088607594937,0.9367088607594937,0.9596835443037974,0.0203565891701091,7
13,0.00019822120666503906,0.0003964424133300781,0.007376432418823242,0.0004874517148310381,14,{'n_neighbors': 14},0.975,0.9625,0.9875,0.9493670886075949,0.9493670886075949,0.9647468354430379,0.014838836718160029,1
14,0.00019927024841308593,0.00039854049682617185,0.008172702789306641,0.00039842129823699406,15,{'n_neighbors': 15},0.9625,0.9625,0.975,0.9493670886075949,0.9367088607594937,0.9572151898734177,0.013071037713921688,14
15,0.0004033565521240234,0.0004940629981944369,0.0077799797058105465,0.0007555372385385092,16,{'n_neighbors': 16},0.975,0.9625,0.975,0.9493670886075949,0.9493670886075949,0.962246835443038,0.011464085326069566,2
16,0.00019927024841308593,0.00039854049682617185,0.007186412811279297,0.00039344836303069786,17,{'n_neighbors': 17},0.9625,0.9625,0.9625,0.9493670886075949,0.9493670886075949,0.9572468354430379,0.006433786349715344,10
17,0.0,0.0,0.007786893844604492,0.000749821247452858,18,{'n_neighbors': 18},0.975,0.9625,0.9625,0.9493670886075949,0.9493670886075949,0.959746835443038,0.009625976811658828,4
18,0.0,0.0,0.0077740192413330075,0.00039846909607516864,19,{'n_neighbors': 19},0.9625,0.9625,0.9625,0.9493670886075949,0.9493670886075949,0.9572468354430379,0.006433786349715344,10
19,0.0,0.0,0.0078028678894042965,0.0007491716139540873,20,{'n_neighbors': 20},0.975,0.9625,0.9625,0.9493670886075949,0.9493670886075949,0.959746835443038,0.009625976811658828,4
